weight,bias
-6.435281650463959,-4.934960032788632
1.615338660857663,-4.934960032788632
4.863552143166832,-4.934960032788632
6.980368742075842,-4.934960032788632
6.446822828055345,-4.934960032788632
-0.020493065493797563,-4.934960032788632
0.21959569212956817,-4.934960032788632
-8.69663062338029,-4.934960032788632
-0.010971619970910135,-4.934960032788632
0.38325547010556144,-4.934960032788632
0.44855363636038104,-4.934960032788632
7.0462121091571905,-4.934960032788632
2.2923536903481057,-4.934960032788632
